Membership No  Date Joined  Active  
    43570      2017-8-15    yes   
    68156      2016-10-8    yes   
    49478      2019-12-16   no    
    93218      2020-6-22    yes   
    68091      2017-2-7     yes   
    32583      2019-5-6     no    
    99278      2016-7-14    no    
    42202      2017-3-18    yes   
    88344      2018-11-25   no    
    34292      2018-12-24   yes   
    49780      2020-6-4     yes   
    39529      2018-6-19    yes   
    75609      2017-6-4     yes   
    27737      2015-11-23   no    
    18547      2017-5-14    no    
    88466      2019-6-24    no    
    64837      2020-11-25   yes   
    54185      2015-1-12    yes   
    95262      2017-10-16   yes   
    65573      2020-11-9    no    
