Membership No  Date Joined  Active  
    65139      2020-12-10   no    
    81439      2018-3-21    no    
    38917      2019-4-3     no    
    20628      2020-11-14   no    
    23287      2015-5-25    no    
    68038      2016-11-19   no    
    76417      2018-3-20    no    
    74184      2016-9-7     no    
    54080      2018-7-6     no    
    75505      2020-7-8     no    
    22696      2019-11-15   no    
    49012      2019-7-12    no    
    55879      2017-6-3     no    
    14137      2015-8-17    no    
